[2025-12-01 21:07:16] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/index.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:05:54] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:07:29] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:07:42] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:07:57] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:09:03] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 162.19.230.101 | Localização: FR | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:145.0) Gecko/20100101 Firefox/145.0 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:14:56] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 162.19.230.101 | Localização: FR | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:145.0) Gecko/20100101 Firefox/145.0 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:21:09] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:26:34] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 72.14.199.231 | Localização: US | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.122 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:27:58] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 72.14.199.232 | Localização: US | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.122 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:29:40] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:29:54] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:40:10] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-01 23:40:23] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 00:41:07] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 00:41:42] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 00:49:53] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 00:51:32] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:07:52] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:20:20] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:28:36] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:29:38] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:42:03] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:44:36] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:45:04] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:51:11] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:52:26] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:53:14] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:53:28] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BOT - SITE NORMAL | UA: Googlebot/2.1 (+http://www.google.com/bot.html ) | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:53:57] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm ) | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:54:23] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BOT - SITE NORMAL | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php ) | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 02:58:57] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 89.111.27.35 | Localização: LV | Status: BOT - SITE NORMAL | UA: Googlebot/2.1 (+http://www.google.com/bot.html ) | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 03:06:45] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 03:16:45] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 03:16:56] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 03:17:18] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.229.147.239 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1 | Path: /cloaker/api.php?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-02 18:31:11] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 43.173.173.137 | Localização: SG | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-03 17:57:44] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.241.75.160 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-04 17:52:15] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 164.163.208.187 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-04 17:54:23] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 189.63.227.113 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-04 17:55:26] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 45.165.121.105 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-04 17:55:48] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 177.127.61.220 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-04 17:56:02] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 201.0.74.35 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-04 17:56:13] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 189.84.182.11 | Localização: BR | Status: BRASIL - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-04 18:14:46] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 43.173.174.18 | Localização: SG | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-05 18:24:15] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 43.173.180.17 | Localização: SG | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-06 00:38:22] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 142.132.233.136 | Localização: DE | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-07 01:01:24] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.246.19.168 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-07 17:09:00] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.241.75.164 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-07 18:19:53] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.22.237.44 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-07 18:30:21] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 43.173.174.138 | Localização: SG | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-07 18:30:33] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 43.173.182.246 | Localização: SG | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-07 21:48:40] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.22.237.165 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-08 14:12:05] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.246.19.155 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-08 21:40:51] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.22.237.159 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-13 10:18:21] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 205.169.39.214 | Localização: US | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-13 11:20:58] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 106.52.30.95 | Localização: CN | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-13 11:21:17] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 139.186.169.149 | Localização: CN | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-13 11:21:35] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 43.136.87.133 | Localização: CN | Status: INTERNACIONAL - REDIRECIONADO | UA: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36 | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
[2025-12-22 00:46:00] TOKEN: 63b9a158241208819c20909e6c6f3cf4 | IP: 17.241.219.199 | Localização: US | Status: BOT - SITE NORMAL | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot) | Path: /cloaker/api?key=63b9a158241208819c20909e6c6f3cf4
